%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1574829751737103529,10307,1574829751737103529,/map,0.00344404554367,0.00730494022369,-0.0318750343323,-0.000143250075928,0.00176951303455,-0.0833468771086,0.99651901456
1574829751837078406,10308,1574829751837078406,/map,0.0040350561142,0.00751641607285,-0.0243218841553,0.00410350217448,0.000566792957348,-0.0816194461291,0.996654958363
1574829751937103845,10309,1574829751937103845,/map,0.00429983615875,0.0075140376091,-0.0180720005035,0.00944637413547,-0.00146378247193,-0.0796899539981,0.996773863315
1574829752037098979,10310,1574829752037098979,/map,0.00429516363144,0.00768880748749,-0.0135485019684,0.0147261404075,-0.00255437064682,-0.0778798244971,0.996850715461
1574829752137099506,10311,1574829752137099506,/map,0.00427702474594,0.00836729335785,-0.00895249271393,0.0162562666335,-0.00281859521851,-0.077261213028,0.996874362333
1574829752237099129,10312,1574829752237099129,/map,0.00425932979584,0.00902917671204,-0.00427680158615,0.017022692984,-0.00369636980184,-0.07565789054,0.996981669026
1574829752337103603,10313,1574829752337103603,/map,0.00425272941589,0.00927606487274,-0.00150101447105,0.0141370146298,-0.00384483581528,-0.0747917123493,0.997091551373
1574829752437078511,10314,1574829752437078511,/map,0.00452236652374,0.0090014257431,-0.000215018674731,0.0110817501037,-0.00322875614078,-0.0740248947981,0.997189593256
1574829752537098968,10315,1574829752537098968,/map,0.00451587629318,0.00923010826111,1.78755521774e-05,0.0117691908494,-0.00372297647617,-0.0737085211625,0.997203429347
1574829752637098494,10316,1574829752637098494,/map,0.00450419902802,0.00964157009125,0.000508137643337,0.0109782262019,-0.00436003157062,-0.0727552170733,0.997279873989
1574829752737105011,10317,1574829752737105011,/map,0.00448942899704,0.0101620016098,0.00117580831051,0.0105720611401,-0.00438953920446,-0.0727419093555,0.997285103715
1574829752837077796,10318,1574829752837077796,/map,0.00448385095596,0.0103585519791,0.00166330122948,0.00975687976552,-0.00445478940387,-0.0720777773122,0.997341341852
1574829752937103717,10319,1574829752937103717,/map,0.00448863887787,0.0101898498535,0.00193579649925,0.00853249473557,-0.00455343606221,-0.0707626474945,0.997446294531
1574829753037101673,10320,1574829753037101673,/map,0.00448888444901,0.0101811914444,0.00200032281876,0.00832353305356,-0.00457844239044,-0.0694807904899,0.997538057628
1574829753137100030,10321,1574829753137100030,/map,0.00448226642609,0.0104143896103,0.00222869205475,0.00827193205493,-0.00402975053602,-0.0691576494568,0.997563309155
1574829753237083275,10322,1574829753237083275,/map,0.00447476434708,0.0106787281036,0.00255872321129,0.00811452195126,-0.00460292167408,-0.068198806871,0.997628132315
1574829753337098344,10323,1574829753337098344,/map,0.00446746826172,0.0109357976913,0.00295197224617,0.00765729346367,-0.00408165268673,-0.0678625588815,0.997656944581
1574829753437099377,10324,1574829753437099377,/map,0.00446770238876,0.0109275541306,0.00301619386673,0.00744889146054,-0.00410495521187,-0.0665805259043,0.997744805513
1574829753537099073,10325,1574829753537099073,/map,0.00447016000748,0.0108409547806,0.00300496482849,0.00723515949271,-0.00413698404823,-0.0640227317216,0.997913637372
1574829753637103342,10326,1574829753637103342,/map,0.00447016000748,0.0108409547806,0.00300496482849,0.00722721322004,-0.00415085026381,-0.0621090620625,0.998034569662
1574829753737103696,10327,1574829753737103696,/map,0.0044755396843,0.0106513986588,0.00311118197441,0.00640619483315,-0.00421357064259,-0.0601686720798,0.998158773638
1574829753837073768,10328,1574829753837073768,/map,0.00447957134247,0.0105093450546,0.00319104743004,0.00575032908598,-0.00370024453971,-0.0598267380363,0.998185355193
1574829753937074598,10329,1574829753937074598,/map,0.00448248815536,0.0104065732956,0.00330882191658,0.0051811340136,-0.00429349629753,-0.0588527851756,0.99824399393
1574829754037109886,10330,1574829754037109886,/map,0.00442018699646,0.0103101596832,0.0033622777462,0.00478378109423,-0.00452570565337,-0.0582004339864,0.99828319775
1574829754137083031,10331,1574829754137083031,/map,0.0044241528511,0.0101683654785,0.00344260621071,0.00413132838776,-0.00400796183795,-0.0584975146345,0.998270959785
1574829754237082981,10332,1574829754237082981,/map,0.00436041021347,0.0101193161011,0.00346942090988,0.00392734932998,-0.00482375932024,-0.046683951824,0.998890342288
1574829754337104273,10333,1574829754337104273,/map,0.00436561489105,0.0099304523468,0.00357687211037,0.00308879557162,-0.00487755941385,-0.0415491688984,0.999119780267
1574829754437104036,10334,1574829754437104036,/map,0.00430047225952,0.00992867088318,0.00357687211037,0.00305538484669,-0.00453531252578,-0.0399503273432,0.999186702728
1574829754537103724,10335,1574829754537103724,/map,0.00430175352097,0.00988148117065,0.00360378289223,0.00348702022604,-0.0045068085664,-0.0393021266389,0.999211124942
1574829754637104414,10336,1574829754637104414,/map,0.00430175352097,0.00988148117065,0.00360378289223,0.00348702022604,-0.0045068085664,-0.0393021266389,0.999211124942
1574829754737075932,10337,1574829754737075932,/map,0.00430197000504,0.00987350273132,0.0036684319973,0.00331213224817,-0.00507019482229,-0.038338669229,0.999246450755
1574829754837103411,10338,1574829754837103411,/map,0.00430090522766,0.00991271781921,0.00370613503456,0.0032748739829,-0.00452108174552,-0.0373795673844,0.999285546259
1574829754937104580,10339,1574829754937104580,/map,0.00430090522766,0.00991271781921,0.00370613503456,0.00327198357928,-0.00452317400555,-0.0367408325411,0.999309234544
1574829755037103167,10340,1574829755037103167,/map,0.00430090522766,0.00991271781921,0.00370613503456,0.00326909171566,-0.00452526461718,-0.0361020834136,0.999332514528
1574829755137082901,10341,1574829755137082901,/map,0.0042416343689,0.00969107723236,0.0037116189003,0.00199105758791,-0.00480456704139,-0.0284192606707,0.999582561597
1574829755237125211,10342,1574829755237125211,/map,0.00411237335205,0.00964050674438,0.00373862600327,0.00175238601705,-0.00523726197098,-0.0194662475997,0.999795261758
1574829755337078995,10343,1574829755337078995,/map,0.00411359453201,0.00959338188171,0.00376565217972,0.000923386391988,-0.00582211190899,-0.0178668580968,0.999822997211
1574829755437128635,10344,1574829755437128635,/map,0.00411359453201,0.00959338188171,0.00376565217972,0.00154207889865,-0.0052431930922,-0.0181817801581,0.999819760651
1574829755537099189,10345,1574829755537099189,/map,0.00411725616455,0.00945207309723,0.00384684610367,0.000951237674056,-0.00580779369596,-0.0178437288636,0.999823467428
1574829755637122384,10346,1574829755637122384,/map,0.00411969566345,0.00935792255402,0.00390107131004,0.000524025307808,-0.005261665609,-0.0181500493145,0.999821292023
1574829755737099902,10347,1574829755737099902,/map,0.00412335300446,0.00921678066254,0.00398255324364,-0.000106809823231,-0.00471955363444,-0.0184505712601,0.999818628965
1574829755837100020,10348,1574829755837100020,/map,0.00412335300446,0.00921678066254,0.00398255324364,-0.000126812467528,-0.00416635858488,-0.0187701325839,0.999815136662
1574829755937118080,10349,1574829755937118080,/map,0.00412457132339,0.00916975498199,0.00400975227356,-0.000330427803832,-0.00417018220822,-0.0187640077119,0.999815189129
